n_factors,lr,reg,epochs,train_rmse,val_rmse
40,0.004,0.02,30,0.7266132188252005,0.8820035190974465
30,0.004,0.02,30,0.7512972668950433,0.8826552219117618
50,0.004,0.02,30,0.7054433401279215,0.883459211156147
30,0.005,0.02,30,0.7190027815063416,0.8846554062165819
40,0.003,0.02,30,0.7768264089813092,0.8847492125725164
50,0.003,0.02,30,0.7613215733573941,0.8848347385021492
40,0.005,0.02,30,0.6894035482793291,0.885330676869316
30,0.003,0.02,30,0.7948096223421972,0.8859936343929001
50,0.005,0.02,30,0.6635911143394913,0.8880093459564499
40,0.003,0.01,30,0.7507350611871072,0.8900092274026794
30,0.003,0.01,30,0.7732765437050101,0.8901794493684068
50,0.003,0.01,30,0.7308297165452812,0.8915945623839351
30,0.004,0.01,30,0.728744553780869,0.892432421018646
40,0.004,0.01,30,0.6990223677369467,0.8942231070780731
50,0.004,0.01,30,0.6725107177043645,0.8981631918114965
30,0.005,0.01,30,0.6979722919801604,0.8982201066515069
40,0.005,0.01,30,0.6630393384096783,0.9024734259272132
50,0.005,0.01,30,0.631595552895007,0.9082108305996541
